assessor_initials,participant_video_id,age_m,age_yr,gender_male1,ok_video_present,condition,present_side,puzzle_selection,puzzle_harder,redcap,video_on_server,assessor_video_on_server,exclude
KAS,EALS_study1_20220306_3,52,4,,0,EXCLUDE,,EXCLUDE,,1,1,0,1
KAS,EALS_study1_20220306_4,81,6,,0,EXCLUDE,,EXCLUDE,,1,1,0,1
KAS,EALS_study1_20220315_2,70,5,,1,EXCLUDE,,EXCLUDE,,1,1,0,1
DG,EALS_study1_20220715_2,58,4,,0,EXCLUDE,,EXCLUDE,,1,0,0,1
DG,EALS_study1_20220715_7,49,4,,1,EXCLUDE,,EXCLUDE,,1,1,0,1
DG,EALS_study1_20220715_8,69,5,,1,EXCLUDE,,EXCLUDE,,1,1,0,1
DG,EALS_study1_20220720_2,59,4,,1,EXCLUDE,,EXCLUDE,,1,1,0,1
DG,EALS_study1_20220720_3,46,3,,1,EXCLUDE,,EXCLUDE,,1,1,0,1
MM,EALS_study1_20220720_4,74,6,,1,EXCLUDE,,EXCLUDE,,1,1,0,1
MM,EALS_study1_20220720_5,83,6,,1,EXCLUDE,,EXCLUDE,,1,1,0,1
MM,EALS_study1_20220817_5,65,5,,1,EXCLUDE,,EXCLUDE,,1,1,1,1
MM,EALS_study1_20220819_1,69,5,,0,EXCLUDE,,EXCLUDE,,1,1,0,1
DG,EALS_study1_20221021_1,65,5,,1,EXCLUDE,,EXCLUDE,,1,1,1,1
ACN,EALS_study1_20221105_2,66,5,,,EXCLUDE,,EXCLUDE,,1,1,1,1
KC,EALS_study1_20221106_2,53,4,0,,EXCLUDE,,EXCLUDE,,1,1,0,1
ACN,EALS_study1_20221204_1,54,4,0,1,EXCLUDE,,EXCLUDE,,1,1,1,1
KAS,EALS_study1_20220306_1,75,6,0,1,Reliable,Hard Right,Hard,1,1,1,0,
KAS,EALS_study1_20220306_2,61,5,1,1,Reliable,Hard Left,Easy,0,1,1,0,
KAS,EALS_study1_20220306_5,63,5,1,1,Unreliable,Hard Right,Easy,0,1,1,0,
KAS,EALS_study1_20220306_6,64,5,1,0,Unreliable,Hard Left,Easy,0,1,1,0,
KAS,EALS_study1_20220306_7,76,6,1,1,Reliable,Hard Left,Hard,1,1,1,0,
KAS,EALS_study1_20220315_1,67,5,0,1,Reliable,Hard Right,Easy,0,1,1,0,
KAS,EALS_study1_20220315_3,59,4,1,1,Reliable,Hard Left,Hard,1,1,1,0,
KAS,EALS_study1_20220315_4,79,6,1,1,Reliable,Hard Right,Hard,1,1,1,0,
KAS,EALS_study1_20220315_5,66,5,0,1,Unreliable,Hard Left,Hard,1,1,1,0,
