participant_video_id,age_m,gender_male1,condition,present_side,puzzle_selection,puzzle_harder,experiment
EALS_study1_20220810_2,56,1,Unreliable,Hard left,Easy,0,2
EALS_study1_20220810_3,72,1,Reliable,Hard left,Hard,1,2
EALS_study1_20220810_4,76,1,Reliable,Hard right,Hard,1,2
EALS_study1_20220810_5,62,0,Unreliable,Hard left,Easy,0,2
EALS_study1_20220810_6,72,0,Unreliable,Hard right,Hard,1,2
EALS_study1_20220810_7,66,1,Reliable,Hard right,Hard,1,2
EALS_study1_20220811_1,57,0,Unreliable,Hard left,Easy,0,2
EALS_study1_20220811_3,56,0,Unreliable,Hard right,Easy,0,2
EALS_study1_20220811_4,72,0,Reliable,Hard left,Easy,0,2
EALS_study1_20220812_1,56,0,Reliable,Hard right,Easy,0,2
EALS_study1_20220812_10,50,1,Reliable,Hard right,Easy,0,2
EALS_study1_20220812_2,65,1,Unreliable,Hard left,Easy,0,2
EALS_study1_20220812_3,57,1,Unreliable,Hard right,Easy,0,2
EALS_study1_20220812_4,67,1,Reliable,Hard left,Hard,1,2
EALS_study1_20220812_5,60,1,Reliable,Hard right,Easy,0,2
EALS_study1_20220812_6,63,0,Unreliable,Hard Left,Easy,0,2
EALS_study1_20220812_7,67,0,Unreliable,Hard Left,Easy,0,2
EALS_study1_20220812_8,66,0,Unreliable,Hard Left,Hard,1,2
EALS_study1_20220812_9,67,1,Reliable,Hard Left,Hard,1,2
EALS_study1_20220814_1,49,0,Unreliable,Hard Left,Easy,0,2
EALS_study1_20220814_2,64,0,Unreliable,Hard Right,Easy,0,2
EALS_study1_20220814_3,76,0,Reliable,Hard Left,Hard,1,2
EALS_study1_20220814_4,78,0,Reliable,Hard Right,Hard,1,2
EALS_study1_20220814_5,73,1,Unreliable,Hard Left,Easy,0,2
EALS_study1_20220814_6,49,1,Unreliable,Hard Right,Easy,0,2
EALS_study1_20220814_7,74,0,Reliable,Hard Left,Hard,1,2
EALS_study1_20220814_8,67,0,Reliable,Hard right,Hard,1,2
EALS_study1_20220814_9,65,0,Reliable,Hard Left,Hard,1,2
EALS_study1_20220817_1,59,1,Reliable,Hard Left,Easy,0,2
EALS_study1_20220817_8,73,1,Unreliable,Hard Right,Hard,1,2
EALS_study1_20220819_2,49,1,Reliable,Hard Right,Easy,0,2
EALS_study1_20220819_3,74,0,Unreliable,Hard Right,Hard,1,2
EALS_study1_20220820_2,82,0,Unreliable,Hard Left,Easy,0,2
EALS_study1_20220820_4,78,0,Unreliable,Hard Left,Easy,0,2
EALS_study1_20220821_1,61,0,Unreliable,Hard Left,Hard,1,2
EALS_study1_20220821_2,55,1,Reliable,Hard Left,Easy,0,2
EALS_study1_20220821_3,76,0,Reliable,Hard Right,Hard,1,2
EALS_study1_20220821_6,51,1,Unreliable,Hard Left,Easy,0,2
EALS_study1_20220824_1,58,0,Reliable,Hard Left,Easy,0,2
EALS_study1_20220824_2,64,0,Reliable,Hard Right,Hard,1,2
EALS_study1_20220824_4,65,0,Reliable,Hard Left,Easy,0,2
EALS_study1_20220824_5,62,1,Reliable,Hard Right,Hard,1,2
EALS_study1_20220826_1,52,0,Unreliable,Hard Left,Easy,0,2
EALS_study1_20220826_2,48,0,Unreliable,Hard Right,Easy,0,2
EALS_study1_20220826_3,70,0,Unreliable,Hard Left,Hard,1,2
EALS_study1_20220826_4,71,1,Unreliable,Hard Left,Easy,0,2
EALS_study1_20220826_5,66,1,Reliable,Hard Right,Hard,1,2
EALS_study1_20220826_6,69,1,Reliable,Hard Left,Easy,0,2
EALS_study1_20220826_7,65,0,Reliable,Hard Right,Hard,1,2
EALS_study1_20220828_1,59,0,Unreliable,Hard Left,Hard,1,2
EALS_study1_20220828_4,77,1,Reliable,Hard Left,Hard,1,2
EALS_study1_20221007_1,48,1,Reliable,Hard Right,Hard,1,2
EALS_study1_20221007_2,50,0,Reliable,Hard Right,Easy,0,2
EALS_study1_20221014_2,62,0,Reliable,Hard Left,Hard,1,2
EALS_study1_20221014_3,62,1,Unreliable,Hard Right,Easy,0,2
EALS_study1_20221105_4,69,0,Reliable,Hard Left,Hard,1,2
EALS_study1_20221210_1,76,1,Unreliable,Hard Right,Hard,1,2
EALS_study1_20221210_3,73,1,Unreliable,Hard Right,Hard,1,2
EALS_study1_20230115_1,71,1,Unreliable,Hard Right,Hard,1,2
EALS_study1_20230115_2,63,1,Unreliable,Hard Right,Easy,0,2
