participant_ID,first_help_bid.duration,first_help_bid.count,toy_exploration.duration.sum,age_m,gender_male1,condition
EALS_study2_240302_1,180,0,23.443,53,NA,Reliable
EALS_study2_240302_2,76.499,1,99.888,49,NA,Unreliable
EALS_study2_240302_3,180,0,136.054,49,NA,Reliable
EALS_study2_240303_1,121.556,1,92.994,NA,NA,Unreliable
EALS_study2_240303_2,180,0,180,NA,NA,Reliable
EALS_study2_240303_3,70.87,1,142.239,NA,NA,Reliable
EALS_study2_240309_2,180,0,178.504,62,NA,Unreliable
EALS_study2_240309_4,180,0,180,56,NA,Unreliable
EALS_study2_240316_1,126.022,1,145.141,58,NA,Reliable
EALS_study2_240316_2,180,0,180,55,NA,Reliable
EALS_study2_240317_1,173.129,1,180,71,NA,Reliable
EALS_study2_240317_2,71.912,1,104.243,63,NA,Reliable
EALS_study2_240317_3,96.845,1,145.716,74,NA,Unreliable
EALS_study2_240406_1,105.179,1,103.122,NA,NA,Unreliable
EALS_study2_240406_2,134.62,1,136.38,NA,NA,Reliable
EALS_study2_240406_4,104.243,1,180,NA,NA,Reliable
EALS_study2_240406_5,71.311,1,160.297,NA,NA,Reliable
EALS_study2_240413_2,93.607,1,93.778,68,NA,Unreliable
EALS_study2_240414_1,44.998,1,40.815,61,NA,Unreliable
EALS_study2_240414_3,58.875,1,176.909,69,NA,Reliable
EALS_study2_240420_1,82.714,1,152.083,NA,NA,Reliable
EALS_study2_240420_2,65.796,1,128.632,NA,NA,Unreliable
EALS_study2_240420_3,140.357,1,145.356,NA,NA,Reliable
EALS_study2_240428_2,180,0,173.198,49,NA,Unreliable
EALS_study2_240428_4,180,0,180,77,NA,Reliable
EALS_study2_240504_1,180,0,180,56,NA,Unreliable
EALS_study2_240504_2,18.639,1,177.696,50,NA,Unreliable
EALS_study2_240504_3,103.814,1,105.885,60,NA,Unreliable
EALS_study2_240504_4,180,0,180,67,NA,Reliable
EALS_study2_240505_1,180,0,180,73,NA,Unreliable
EALS_study2_240505_3,180,0,180,50,NA,Reliable
EALS_study2_240505_4,60.688,1,71.558,72,NA,Reliable
