participant_ID,condition,age_m,gender_male1,first_help_bid.duration,first_help_bid.count,toy_exploration.nooverlap.duration.sum,total_explored,complex_combo,side1_solved_numeric,side2_solved_numeric,side3_solved_numeric,side4_solved_numeric,total_solved
EALS_study3_240723_1,Reliable,50,0,180,0,124.053,8,0,1,0,0,0,1
EALS_study3_240724_1,Unreliable,49,1,180,0,151.629,18,0,1,0,0,0,1
EALS_study3_240724_2,Unreliable,78,0,180,0,159.068,21,1,1,1,1,0,3
EALS_study3_240725_1,Reliable,69,1,46.951,1,33.244,5,0,1,0,0,0,1
EALS_study3_240725_2,Reliable,66,1,72.643,1,148.047,18,0,1,0,0,0,1
EALS_study3_240725_3,Unreliable,57,1,173.051,1,157.551,20,1,1,1,0,0,2
EALS_study3_240725_4,Unreliable,74,0,155.83,1,160.142,20,1,1,1,0,0,2
EALS_study3_240725_5,Reliable,75,1,122.976,1,123.25,17,1,1,1,0,0,2
EALS_study3_240726_1,Reliable,64,0,180,0,92.432,6,1,1,0,0,0,1
EALS_study3_240726_3,Unreliable,82,0,180,0,138.868,21,1,1,1,1,0,3
EALS_study3_240726_4,Reliable,55,1,103.382,1,154.832,21,0,1,1,1,0,3
EALS_study3_240727_1,Unreliable,81,1,177.4,1,171.156,21,1,1,1,1,0,3
EALS_study3_240727_3,Reliable,73,1,93.757,1,165.399,19,1,1,0,0,0,1
EALS_study3_240727_4,Reliable,56,0,105.388,1,125.473,21,0,1,0,0,0,1
EALS_study3_240728_1,Unreliable,55,1,180,0,141.816,20,0,0,0,0,0,0
EALS_study3_240728_2,Unreliable,68,1,180,0,178.841,21,0,1,0,0,0,1
EALS_study3_240730_1,Reliable,75,1,180,0,166.857,21,1,1,1,0,0,2
EALS_study3_240730_3,Unreliable,69,1,71.16,1,134.788,21,1,1,0,0,0,1
EALS_study3_240730_4,Reliable,54,1,84.307,1,114.228,13,1,1,0,0,0,1
EALS_study3_240801_1,Reliable,68,0,101.888,1,110.368,13,0,1,0,0,0,1
EALS_study3_240801_2,Unreliable,82,0,180,0,166.068,21,1,1,0,0,0,1
EALS_study3_240801_3,Unreliable,74,0,180,0,180,10,1,1,1,0,0,2
EALS_study3_240801_5,Reliable,62,1,142.653,1,136.139,19,1,1,1,1,0,3
EALS_study3_240802_1,Unreliable,80,1,139.946,1,156.385,21,1,1,1,1,0,3
EALS_study3_240802_3,Reliable,60,1,49.398,1,95.8,13,1,1,1,0,0,2
EALS_study3_240802_4,Unreliable,63,0,101.82,1,106.545,13,1,1,0,0,0,1
EALS_study3_240803_1,Reliable,81,0,100.401,1,115.111,13,1,1,1,0,0,2
EALS_study3_240803_5,Reliable,55,0,57.008,1,97.392,13,1,1,1,0,0,2
EALS_study3_240806_1,Reliable,53,0,147.137,1,119.5,18,0,1,0,0,0,1
EALS_study3_240806_2,Unreliable,64,0,34.115,1,136.39,17,1,1,1,0,0,2
EALS_study3_240808_1,Reliable,75,1,180,0,172.127,17,0,1,0,0,0,1
EALS_study3_240808_2,Reliable,60,1,30.666,1,33.582,8,0,1,1,0,0,2
EALS_study3_240808_3,Unreliable,49,1,138.286,1,11.842,3,0,0,0,0,0,0
EALS_study3_240808_4,Unreliable,78,1,180,0,159.818,20,1,1,1,0,0,2
EALS_study3_240808_5,Reliable,58,1,46.19,1,115.727,12,0,1,0,0,0,1
EALS_study3_240809_1,Reliable,75,0,180,0,166.532,17,1,1,0,0,0,1
EALS_study3_240809_2,Unreliable,60,0,30.422,1,99.145,8,0,1,0,0,0,1
EALS_study3_240809_5,Reliable,65,1,83.845,1,133.241,12,0,1,0,0,0,1
EALS_study3_240809_6,Unreliable,49,0,77.086,1,103.755,12,0,1,0,0,0,1
EALS_study3_240810_1,Unreliable,69,0,180,0,164.521,21,1,1,0,0,0,1
EALS_study3_240810_2,Reliable,81,0,109.251,1,102.189,21,0,1,1,1,0,3
EALS_study3_240810_3,Reliable,71,0,74.556,1,141.71,21,1,1,1,0,0,2
EALS_study3_240810_5,Unreliable,82,0,147.041,1,163.373,19,0,1,1,0,1,3
EALS_study3_240811_2,Reliable,72,0,39.568,1,105.388,15,0,1,0,1,0,2
EALS_study3_240811_3,Unreliable,65,0,133.226,1,147.6,12,1,1,0,0,0,1
EALS_study3_240811_4,Unreliable,77,0,180,0,117.98,21,0,1,1,0,0,2
EALS_study3_240813_2,Reliable,72,1,65.419,1,85.765,20,1,1,1,1,0,3
EALS_study3_240815_1,Unreliable,65,1,52.55,1,47.7,9,0,1,0,0,0,1
EALS_study3_240815_3,Reliable,68,0,180,0,161.999,13,1,1,0,0,0,1
EALS_study3_240816_1,Unreliable,83,0,180,0,154.714,21,1,1,1,1,0,3
EALS_study3_240816_2,Unreliable,74,1,180,0,146.151,21,1,1,1,1,0,3
EALS_study3_240816_3,Reliable,69,0,180,0,164.61,21,0,1,1,1,0,3
EALS_study3_240816_4,Reliable,68,0,83.012,1,143.365,9,1,1,0,0,0,1
EALS_study3_240816_5,Unreliable,80,0,180,0,160.61,21,1,1,1,1,0,3
EALS_study3_240818_1,Unreliable,57,0,180,0,94.729,20,1,1,0,0,0,1
EALS_study3_240818_3,Reliable,55,0,146.696,1,81.514,11,0,1,0,0,0,1
EALS_study3_240818_4,Unreliable,69,1,26.713,1,42.02,5,0,1,1,0,0,2
EALS_study3_240820_1,Reliable,53,1,37.83,1,80.006,6,0,1,0,0,0,1
EALS_study3_240820_2,Reliable,62,1,64.207,1,126.631,17,0,1,1,0,0,2
EALS_study3_240822_1,Unreliable,78,0,97.036,1,123.421,21,1,1,1,0,0,2
EALS_study3_240822_2,Unreliable,66,0,98.484,1,142.232,20,1,1,0,0,0,1
EALS_study3_240823_1,Reliable,54,1,92.67,1,84.266,14,0,1,1,0,0,2
EALS_study3_240823_2,Unreliable,58,0,180,0,167.562,12,0,1,0,0,0,1
EALS_study3_240823_3,Unreliable,63,1,102.325,1,145.288,21,1,1,1,0,0,2
EALS_study3_240823_4,Reliable,70,1,61.142,1,110.691,14,0,1,1,0,0,2
EALS_study3_240824_1,Reliable,74,1,180,0,127.412,21,0,1,1,0,0,2
EALS_study3_240824_3,Unreliable,75,1,39.399,1,145.971,18,1,0,0,1,0,1
EALS_study3_240824_5,Reliable,71,1,180,0,167.224,21,1,1,0,0,0,1
EALS_study3_240824_6,Unreliable,82,0,180,0,161.507,20,0,1,1,0,0,2
EALS_study3_240824_7,Unreliable,80,1,180,0,180,21,1,1,1,1,0,3
EALS_study3_240824_8,Reliable,65,1,119.24,1,151.132,21,0,1,1,0,0,2
EALS_study3_240824_9,Reliable,57,0,136.325,1,158.112,21,0,1,1,1,0,3
EALS_study3_240825_1,Unreliable,64,1,112.852,1,125.132,19,0,1,1,0,0,2
EALS_study3_240825_3,Reliable,59,1,180,0,116.141,13,0,1,0,0,0,1
EALS_study3_240825_4,Reliable,65,0,83.468,1,128.135,21,0,1,0,0,0,1
EALS_study3_240825_5,Unreliable,73,1,126.186,1,107.583,17,1,1,1,0,0,2
EALS_study3_240829_1,Reliable,65,0,180,0,166.05,21,1,1,1,0,0,2
EALS_study3_240830_1,Reliable,53,0,8.017,1,36.794,5,0,1,0,0,0,1
EALS_study3_240830_3,Unreliable,60,0,139.403,1,135.151,21,0,1,1,0,0,2
EALS_study3_240830_4,Reliable,61,1,180,0,159.556,21,1,1,0,1,1,3
EALS_study3_240831_1,Reliable,67,1,180,0,171.207,21,0,1,1,0,0,2
EALS_study3_240831_2,Unreliable,53,0,180,0,158.18,18,0,1,0,0,0,1
EALS_study3_240831_3,Unreliable,51,1,180,0,141.029,21,0,1,0,0,0,1
EALS_study3_240831_4,Unreliable,52,1,180,0,179.329,17,1,1,1,0,0,2
EALS_study3_240919_1,Unreliable,49,1,180,0,180,21,1,1,0,0,0,1
EALS_study3_240919_2,Reliable,53,0,21.406,1,112.152,18,0,1,0,0,0,1
EALS_study3_240919_3,Reliable,54,0,180,0,180,13,0,1,0,0,1,2
EALS_study3_240921_1,Reliable,61,0,180,0,179.179,15,0,1,0,0,0,1
EALS_study3_240921_2,Reliable,79,0,170.373,1,180,15,1,1,1,0,0,2
EALS_study3_240921_4,Unreliable,48,1,180,0,166.103,17,1,1,0,0,0,1
EALS_study3_240921_6,Unreliable,54,0,180,0,180,17,1,1,0,0,0,1
EALS_study3_240929_1,Unreliable,79,1,121.315,1,160.161,19,0,1,0,0,0,1
