assessor_initials,participant_video_id,age_m,age_yr,gender_male1,ok_video_present,condition,present_side,puzzle_selection,puzzle_harder,redcap,video_on_server,assessor_video_on_server,exclude
MM,EALS_study1_20220810_1,60,5,,0,ART ONLY,ART ONLY,ART ONLY,ART ONLY,1,1,1,1
MM,EALS_study1_20220820_3,70,5,1,1,ART ONLY,ART ONLY,ART ONLY,ART ONLY,1,0,0,1
MM,EALS_study1_20220821_4,58,4,0,0,ART ONLY,ART ONLY,ART ONLY,ART ONLY,1,1,1,1
MM,EALS_study1_20220828_2,59,4,,1,ART ONLY,ART ONLY,ART ONLY,ART ONLY,0,1,1,1
DG,EALS_study1_20221113_3,74,6,1,1,ART ONLY,ART ONLY,ART ONLY,ART ONLY,1,0,0,1
DG,EALS_study1_20220811_2,53,4,,1,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,1,1,1,1
DG,EALS_study1_20220817_3,49,4,,1,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,1,1,1,1
DG,EALS_study1_20220817_4,50,4,,1,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,1,1,1,1
MM,EALS_study1_20220821_5,65,5,1,0,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,1,1,1,1
DG,EALS_study1_20220824_3,48,4,,1,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,1,1,1,1
MM,EALS_study1_20220828_3,76,6,,1,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,1,1,1,1
KC,EALS_study1_20221106_1,,,1,1,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,1,1,0,1
DG,EALS_study1_20221113_2,74,6,1,1,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,1,0,1,1
MM,EALS_study1_20220810_2,56,4,1,1,Unreliable,Hard left,Easy,0,1,1,1,
MM,EALS_study1_20220810_3,72,6,1,1,Reliable,Hard left,Hard,1,1,1,1,
DG,EALS_study1_20220810_4,76,6,1,1,Reliable,Hard right,Hard,1,1,1,1,
DG,EALS_study1_20220810_5,62,5,0,1,Unreliable,Hard left,Easy,0,1,1,1,
