participant_video_id,age_m,age_yr,gender_male1,ok_video_present,condition,bid_help_toy,first_bid_toy_s,datawave
EALS_study2pilot_221112_2,62,5,Male,1,Reliable,1,12,spring 23 pilot
EALS_study2pilot_230226_1,80,6,Female,1,Reliable,1,33,spring 23 pilot
EALS_study2pilot_230305_2,72,5,Female,1,Unreliable,1,121,spring 23 pilot
EALS_study2pilot_230305_3,62,5,Female,0,Unreliable,0,180,spring 23 pilot
EALS_study2pilot_230305_4,56,4,Female,0,Reliable,1,32,spring 23 pilot
EALS_study2pilot_230309_2,55,4,Female,0,Unreliable,0,180,spring 23 pilot
EALS_study2pilot_230312_1,58,4,Female,1,Reliable,1,52,spring 23 pilot
EALS_study2pilot_230312_2,65,5,Female,1,Unreliable,0,180,spring 23 pilot
EALS_study2pilot_230319_1,65,5,Male,1,Unreliable,0,180,spring 23 pilot
EALS_study2pilot_230319_3,72,6,Female,1,Reliable,1,32,spring 23 pilot
EALS_study2pilot_230319_4,59,4,Female,1,Reliable,1,43,spring 23 pilot
EALS_study2pilot_230328_1,63,5,Male,1,Reliable,1,41,spring 23 pilot
EALS_study2pilot_230328_2,56,4,Male,1,Unreliable,0,180,spring 23 pilot
EALS_study2pilot_230328_3,50,4,Female,1,Reliable,1,10,spring 23 pilot
EALS_study2pilot_230328_4,50,4,Male,1,Unreliable,0,180,spring 23 pilot
EALS_study2pilot_230329_1,58,4,Male,1,Reliable,1,42,spring 23 pilot
EALS_study2pilot_230329_2,65,5,Female,1,Unreliable,1,25,spring 23 pilot
EALS_study2pilot_230329_3,60,5,Female,1,Reliable,1,60,spring 23 pilot
EALS_study2pilot_230330_1,60,4,Male,1,Unreliable,1,32,spring 23 pilot
EALS_study2pilot_230330_2,62,5,Female,1,Unreliable,1,19,spring 23 pilot
EALS_study2pilot_230330_3,59,4,Female,1,Reliable,1,17,spring 23 pilot
EALS_study2pilot_230330_4,49,4,Female,1,Reliable,0,180,spring 23 pilot
EALS_study2pilot_230331_1,54,4,Female,1,Unreliable,1,46,spring 23 pilot
EALS_study2pilot_230331_2,56,4,Female,1,Reliable,1,2,spring 23 pilot
EALS_study2pilot_230409_1,75,6,Male,1,Reliable,0,180,spring 23 pilot
EALS_study2pilot_230409_3,64,5,Female,1,Unreliable,1,141,spring 23 pilot
EALS_study2pilot_230409_4,68,5,Female,0,Unreliable,0,180,spring 23 pilot
EALS_study2pilot_230416_1,73,6,Male,1,Reliable,1,59,spring 23 pilot
EALS_study2pilot_230416_2,70,5,Male,1,Reliable,1,33,spring 23 pilot
EALS_study2pilot_230416_3,70,5,Male,1,Reliable,1,135,spring 23 pilot
EALS_study2pilot_230416_4,58,4,Female,1,Unreliable,1,78,spring 23 pilot
EALS_study2pilot_230416_5,57,4,Female,0,Unreliable,0,180,spring 23 pilot
EALS_study2pilot_230416_6,67,5,Male,1,Unreliable,1,58,spring 23 pilot
EALS_study2pilot_230423_1,74,6,Female,1,Unreliable,0,180,spring 23 pilot
EALS_study2pilot_230423_2,54,4,Female,1,Unreliable,1,36,spring 23 pilot
EALS_study2_230528_1,81,6,Female,1,Unreliable,0,180,summer fall 23 data
EALS_study2_230528_2,66,5,Female,0,Unreliable,1,18.412,summer fall 23 data
EALS_study2_230528_3,55,4,Female,1,Reliable,1,27.241,summer fall 23 data
EALS_study2_230528_4,58,4,Female,0,Reliable,1,10.266,summer fall 23 data
EALS_study2_230528_5,74,6,Male,0,Reliable,1,5.559,summer fall 23 data
EALS_study2_230604_2,64,5,Male,0,Unreliable,0,180,summer fall 23 data
EALS_study2_230630_1,60,4,Female,0,Reliable,1,17.195,summer fall 23 data
EALS_study2_230630_2,59,4,Male,0,Reliable,1,14.835,summer fall 23 data
EALS_study2_230630_4,64,5,Female,0,Unreliable,1,41.493,summer fall 23 data
EALS_study2_230630_5,59,4,Female,0,Unreliable,0,180,summer fall 23 data
